feature,mean_coefficient,mean_abs_coefficient,nonzero_frequency,nonzero_count,fold_count,rank
macro_vix,-0.022374773710141464,0.022374773710141464,1.0,300,300,1
vol_12m,0.007012694388158913,0.007012694388158913,0.7833333333333333,235,300,2
macro_term_spread,0.003697955186373246,0.0061338158104996795,0.8966666666666666,269,300,3
ma_crossover_6_12_x_macro_vix,-0.004676631945922142,0.005622691467643663,0.5666666666666667,170,300,4
macro_epu,0.0042514687578815635,0.004980979206695512,0.58,174,300,5
vol_12m_x_macro_credit_spread,-0.004421846474110326,0.004580088870361002,0.26,78,300,6
ma_gap_12m_x_macro_epu,-0.0012114298666822687,0.004442715960248155,0.5,150,300,7
macro_credit_spread,0.002296133902676588,0.002509705054917514,0.2966666666666667,89,300,8
ma_gap_12m,-0.00219208524668533,0.002213864499301238,0.45666666666666667,137,300,9
reversal_1m,0.0021236895126972286,0.0021494700865725422,0.52,156,300,10
log_volume_x_macro_credit_spread,-0.0015998733180536669,0.0016098500541858929,0.33666666666666667,101,300,11
reversal_1m_x_macro_epu,0.0005290415593182681,0.0015534969178677244,0.33666666666666667,101,300,12
mom_12_1_x_macro_epu,9.296119839239834e-05,0.0014775284259099994,0.31333333333333335,94,300,13
ma_crossover_6_12,0.0012637040385492034,0.0014137556165537606,0.27,81,300,14
reversal_1m_x_macro_vix,-0.001154928760217648,0.0013789060811761772,0.4,120,300,15
abnormal_log_volume_x_macro_epu,0.0009541024232111333,0.001304252208281301,0.5266666666666666,158,300,16
mom_3_1,-0.0006460715831261335,0.0010440365599836464,0.49,147,300,17
vol_regime_3_12_x_macro_vix,0.000532204501895566,0.001028706658248125,0.5533333333333333,166,300,18
log_volume,-0.0002643701393345528,0.000987572341256896,0.39666666666666667,119,300,19
tsmom_12_x_macro_vix,0.0008453961963297851,0.0009114388293797078,0.13666666666666666,41,300,20
mom_12_1_x_macro_vix,-0.000736529125474413,0.0007729430674007785,0.14666666666666667,44,300,21
mom_12_1,0.00027325774779762753,0.0005856335809233668,0.13333333333333333,40,300,22
tsmom_12_x_macro_epu,0.0003679358624196438,0.0005496660610068139,0.24666666666666667,74,300,23
mom_6_1,-0.00010347825449696461,0.0005264130595944978,0.39,117,300,24
reversal_1m_x_macro_credit_spread,-6.998351679840646e-05,0.0004722760977639438,0.14,42,300,25
tsmom_12,-0.00025218552409095264,0.00046986221215043495,0.12,36,300,26
vol_regime_3_12,-0.00029808244800951655,0.0004341561477261026,0.10666666666666667,32,300,27
abnormal_log_volume_x_macro_vix,0.0002284379897552892,0.00032459792446618913,0.18333333333333332,55,300,28
abnormal_log_volume,-0.0001495987904552665,0.00024384947574328537,0.14666666666666667,44,300,29
vol_3m,-0.00015416827860388204,0.00023915971922906494,0.14333333333333334,43,300,30
vol_regime_3_12_x_macro_term_spread,-6.0026739495193485e-05,0.00012657258338781455,0.11666666666666667,35,300,31
tsmom_sign_12,9.717749307140912e-05,0.00011221921527047566,0.18666666666666668,56,300,32
