feature,mean_importance,std_importance,fold_count,rank
macro_vix,0.29028531534230145,0.12049744692362283,300,1
macro_credit_spread,0.23856854699355903,0.15735176729590386,300,2
macro_epu,0.13915697828649382,0.0655033923777281,300,3
macro_term_spread,0.10960031862108342,0.039232023791675764,300,4
ma_gap_12m,0.046673080895271134,0.024275239783900615,300,5
vol_12m,0.044145065776750834,0.024609700322941366,300,6
ma_crossover_6_12,0.027907771723860265,0.024695268147969157,300,7
mom_6_1,0.02526909607626405,0.01454792120026035,300,8
reversal_1m,0.021026770414351234,0.008391752996084379,300,9
mom_12_1,0.01780111503852484,0.010365252453678753,300,10
mom_3_1,0.013765078155722381,0.007239161027799829,300,11
vol_3m,0.006461994470864779,0.0020588628521658082,300,12
log_volume,0.006163387561696189,0.00316540870390173,300,13
abnormal_log_volume,0.005708872948224099,0.0021868687835475717,300,14
tsmom_12,0.004403056243918813,0.002560410678078634,300,15
vol_regime_3_12,0.003046535305064068,0.0008764128607327404,300,16
tsmom_sign_12,1.7016146049625767e-05,5.019953370856976e-05,300,17
