feature,mean_importance_drop,std_importance_drop,mean_baseline_return,mean_permuted_return,observation_count,rank
tsmom_12,0.0022622778760786684,0.03216214299178157,0.0121668955431475,0.00990461766706883,900,1
log_volume,0.001479791094057469,0.020911908359719233,0.0121668955431475,0.01068710444909003,900,2
mom_12_1,0.0013281300167242685,0.01364088055490228,0.0121668955431475,0.010838765526423232,900,3
tsmom_sign_12,0.0012404346817250674,0.013993650110488969,0.0121668955431475,0.010926460861422432,900,4
abnormal_log_volume,0.0009095239138049591,0.008095478493319853,0.0121668955431475,0.01125737162934254,900,5
ma_gap_12m,0.0008960908013007914,0.016619198860282115,0.0121668955431475,0.011270804741846708,900,6
reversal_1m,0.0006268545101112169,0.009917798185199044,0.0121668955431475,0.011540041033036283,900,7
mom_3_1,0.0004760669618068884,0.010465114455496236,0.0121668955431475,0.011690828581340611,900,8
mom_6_1,0.0003080667347078108,0.009629907452162979,0.0121668955431475,0.011858828808439689,900,9
vol_regime_3_12,0.00022933588854761588,0.013394630629088805,0.0121668955431475,0.011937559654599883,900,10
vol_3m,2.6034118426549764e-05,0.005043290650082478,0.0121668955431475,0.01214086142472095,900,11
macro_credit_spread,0.0,0.0,0.0121668955431475,0.0121668955431475,900,12
macro_epu,0.0,0.0,0.0121668955431475,0.0121668955431475,900,12
macro_term_spread,0.0,0.0,0.0121668955431475,0.0121668955431475,900,12
macro_vix,0.0,0.0,0.0121668955431475,0.0121668955431475,900,12
ma_crossover_6_12,-2.9671278833929034e-05,0.0041712981038675295,0.0121668955431475,0.012196566821981428,900,13
vol_12m,-3.4806679986003375e-05,0.004707469947550097,0.0121668955431475,0.012201702223133503,900,14
