feature,mean_coefficient,mean_abs_coefficient,nonzero_frequency,nonzero_count,fold_count,rank
macro_vix,-0.01264879112082017,0.01264879112082017,1.0,2,2,1
macro_term_spread,-0.005653778690527086,0.005653778690527086,1.0,2,2,2
macro_epu,0.0027710474494154654,0.0027710474494154654,1.0,2,2,3
ma_gap_12m_x_macro_epu,-0.0023347126473697096,0.0023347126473697096,1.0,2,2,4
vol_12m_x_macro_credit_spread,0.0018090066498735072,0.0018090066498735072,1.0,2,2,5
mom_12_1,0.001285467557816368,0.001285467557816368,1.0,2,2,6
log_volume,0.000974456804716829,0.000974456804716829,1.0,2,2,7
vol_12m,0.0008244325166517717,0.0008244325166517717,0.5,1,2,8
vol_3m,0.0003492637266060012,0.0003492637266060012,1.0,2,2,9
mom_6_1,-0.00032924282800436585,0.00032924282800436585,1.0,2,2,10
abnormal_log_volume,0.0,0.0,0.0,0,2,11
abnormal_log_volume_x_macro_epu,0.0,0.0,0.0,0,2,11
abnormal_log_volume_x_macro_vix,0.0,0.0,0.0,0,2,11
log_volume_x_macro_credit_spread,0.0,0.0,0.0,0,2,11
ma_crossover_6_12,0.0,0.0,0.0,0,2,11
ma_crossover_6_12_x_macro_vix,0.0,0.0,0.0,0,2,11
ma_gap_12m,0.0,0.0,0.0,0,2,11
macro_credit_spread,0.0,0.0,0.0,0,2,11
mom_12_1_x_macro_epu,0.0,0.0,0.0,0,2,11
mom_12_1_x_macro_vix,0.0,0.0,0.0,0,2,11
mom_3_1,0.0,0.0,0.0,0,2,11
reversal_1m,0.0,0.0,0.0,0,2,11
reversal_1m_x_macro_credit_spread,0.0,0.0,0.0,0,2,11
reversal_1m_x_macro_epu,0.0,0.0,0.0,0,2,11
reversal_1m_x_macro_vix,0.0,0.0,0.0,0,2,11
tsmom_12,0.0,0.0,0.0,0,2,11
tsmom_12_x_macro_epu,0.0,0.0,0.0,0,2,11
tsmom_12_x_macro_vix,0.0,0.0,0.0,0,2,11
tsmom_sign_12,0.0,0.0,0.0,0,2,11
vol_regime_3_12,0.0,0.0,0.0,0,2,11
vol_regime_3_12_x_macro_term_spread,0.0,0.0,0.0,0,2,11
vol_regime_3_12_x_macro_vix,0.0,0.0,0.0,0,2,11
