date,model,rolling_12m_annual_return
1999-12-31,Elastic Net (Step 2 constrained),
2000-01-31,Elastic Net (Step 2 constrained),
2000-02-29,Elastic Net (Step 2 constrained),
2000-03-31,Elastic Net (Step 2 constrained),
2000-04-28,Elastic Net (Step 2 constrained),
2000-05-31,Elastic Net (Step 2 constrained),
2000-06-30,Elastic Net (Step 2 constrained),
2000-07-31,Elastic Net (Step 2 constrained),
2000-08-31,Elastic Net (Step 2 constrained),
2000-09-29,Elastic Net (Step 2 constrained),
2000-10-31,Elastic Net (Step 2 constrained),
2000-11-30,Elastic Net (Step 2 constrained),-0.2616822960366959
2000-12-29,Elastic Net (Step 2 constrained),-0.32844997482960614
2001-01-31,Elastic Net (Step 2 constrained),-0.02628182121268674
2001-02-28,Elastic Net (Step 2 constrained),-0.3210387263039908
2001-03-30,Elastic Net (Step 2 constrained),-0.24976867482656417
2001-04-30,Elastic Net (Step 2 constrained),-0.006362779644861982
2001-05-31,Elastic Net (Step 2 constrained),0.05425750483082914
2001-06-29,Elastic Net (Step 2 constrained),0.02896405658300316
2001-07-31,Elastic Net (Step 2 constrained),0.19308011581229145
2001-08-31,Elastic Net (Step 2 constrained),-0.0789355004513198
2001-09-28,Elastic Net (Step 2 constrained),-0.23200361113809653
2001-10-31,Elastic Net (Step 2 constrained),-0.19396996634096209
2001-11-30,Elastic Net (Step 2 constrained),-0.002472055882313029
2001-12-31,Elastic Net (Step 2 constrained),-0.02966838087711865
2002-01-31,Elastic Net (Step 2 constrained),-0.2881969938814787
2002-02-28,Elastic Net (Step 2 constrained),-0.31271501159039217
2002-03-28,Elastic Net (Step 2 constrained),-0.1337788892259768
2002-04-30,Elastic Net (Step 2 constrained),-0.38456174687654643
2002-05-31,Elastic Net (Step 2 constrained),-0.4397378720004662
2002-06-28,Elastic Net (Step 2 constrained),-0.5709595948081181
2002-07-31,Elastic Net (Step 2 constrained),-0.5643945263295809
2002-08-30,Elastic Net (Step 2 constrained),-0.47897857569791336
2002-09-30,Elastic Net (Step 2 constrained),-0.38150091678136855
