fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
0,elasticnet,59832,497,120,1,0.007930097086940166,13.0,0.04534447150621118,0.01240497392311579,0.0005
1,elasticnet,59831,497,120,1,0.01242621110790653,13.0,0.059309119937016826,0.012548112462901571,0.00025
2,elasticnet,59830,498,120,1,0.008593678613120074,11.0,0.04160231738288922,0.012765489432857494,0.0005
3,elasticnet,59829,497,120,1,0.01724706265103337,12.0,0.0607449661913893,0.012420139343259357,0.00025
4,elasticnet,59826,498,120,1,0.010573371161618201,10.0,0.04443265900920686,0.013090027876974292,0.0005
5,elasticnet,59824,496,120,1,0.009946539793690538,10.0,0.04168476510455694,0.013462794744046937,0.0005
6,elasticnet,59820,496,120,1,0.01000583425048745,8.0,0.03352742099234868,0.012766520547889654,0.0005
7,elasticnet,59817,496,120,1,0.010888830993714814,9.0,0.029611750827650992,0.012724132999800375,0.0005
8,elasticnet,59813,497,120,1,0.010192736653733842,7.0,0.027498613534428496,0.012866629439236605,0.0005
9,elasticnet,59812,496,120,1,0.013183562642063338,10.0,0.029046217233570853,0.014319405364268392,0.0005
10,elasticnet,59810,496,120,1,0.012138470474315757,12.0,0.023618699190613907,0.014787299559398445,0.0005
11,elasticnet,59806,495,120,1,0.011872114835728385,10.0,0.023872811216410043,0.015104542381159432,0.0005
12,elasticnet,59801,497,120,1,0.007684831355066417,13.0,0.018254067965167875,0.01402691151946163,0.0005
13,elasticnet,59798,496,120,1,0.007681618093656248,9.0,0.01593331439033035,0.014345848231541072,0.0005
14,elasticnet,59795,497,120,1,0.007399417739743702,10.0,0.022603110779438843,0.0140817958323074,0.0005
15,elasticnet,59792,498,120,1,0.008451029869523535,11.0,0.019217109387872994,0.013113274606873613,0.0005
16,elasticnet,59791,499,120,1,0.006847821501144561,11.0,0.01903579390141497,0.012520617606231488,0.0005
17,elasticnet,59790,499,120,1,0.00682557432860168,11.0,0.021134801172019067,0.013063886875634503,0.0005
18,elasticnet,59790,496,120,1,0.006779299552099283,11.0,0.02279154082242504,0.01283434578350298,0.0005
19,elasticnet,59786,499,120,1,0.006705284456229053,11.0,0.022893620771181438,0.0130852660387991,0.0005
20,elasticnet,59787,497,120,1,0.006409910572730466,10.0,0.02081343819637761,0.012767334544226051,0.0005
21,elasticnet,59784,498,120,1,0.0054027827796690455,11.0,0.01981977752873392,0.012260441496060785,0.0005
22,elasticnet,59783,498,120,1,0.006284649104615198,9.0,0.018798701597967357,0.011529326292399144,0.0005
23,elasticnet,59781,497,120,1,0.006812343407467693,11.0,0.022034798663214557,0.01161662000867329,0.0005
24,elasticnet,59778,496,120,1,0.006330360046573994,13.0,0.04031463341462745,0.012597068365259761,2.5e-05
25,elasticnet,59774,496,120,1,0.005755314355019197,11.0,0.037987005081300665,0.011965143494383428,0.0001
26,elasticnet,59771,499,120,1,0.005364445206915885,10.0,0.026931575919417732,0.01193746683059002,0.0005
27,elasticnet,59770,499,120,1,0.006410244759050974,11.0,0.027939993173802913,0.011690686982285361,0.0005
28,elasticnet,59770,500,120,1,0.006170555422124227,10.0,0.024274966789914053,0.012304447410953054,0.0005
29,elasticnet,59772,497,120,1,0.006405554857821913,11.0,0.026170407534309083,0.011981988284692897,0.0005
30,elasticnet,59769,497,120,1,0.005264108033139835,11.0,0.025620591436835795,0.01188426938300229,0.0005
31,elasticnet,59767,499,120,1,0.004885831557958976,11.0,0.021750399507549832,0.01143817368702903,0.0005
32,elasticnet,59766,499,120,1,0.004631234621672729,10.0,0.023044547050092085,0.010366194571372752,0.0005
33,elasticnet,59765,500,120,1,0.004449731405403145,10.0,0.02379093168239811,0.010632519129133508,0.0005
34,elasticnet,59765,500,120,1,0.004483955259824574,11.0,0.021670021463714544,0.009704043516316641,0.0005
35,elasticnet,59765,498,120,1,0.006028980380979566,10.0,0.022263412492907985,0.010006291169625434,0.0005
36,elasticnet,59763,499,120,1,0.0056287357251232776,9.0,0.025797425321004954,0.010216364468863074,0.0005
37,elasticnet,59762,499,120,1,0.0049498992202426,10.0,0.027644047856750682,0.009686303031234963,0.0005
38,elasticnet,59761,499,120,1,0.006248830235438396,10.0,0.026807513928745114,0.009320516704082328,0.0005
39,elasticnet,59760,498,120,1,0.006567681989133533,10.0,0.027017538871237926,0.009067489319823693,0.0005
40,elasticnet,59760,497,120,1,0.0057766037803626755,10.0,0.026743660897706183,0.008893241662527845,0.0005
41,elasticnet,59757,500,120,1,0.005605025742999949,11.0,0.024143837873076286,0.009721453231465166,0.0005
42,elasticnet,59757,499,120,1,0.005439105867766328,11.0,0.025213695008692378,0.010184106962408821,0.0005
43,elasticnet,59756,499,120,1,0.0052557601441781225,11.0,0.02517829782123519,0.010191381413626483,0.0005
44,elasticnet,59755,500,120,1,0.0055628305584765735,11.0,0.024778410180879028,0.010452947983476926,0.0005
45,elasticnet,59755,500,120,1,0.0050132632447528625,10.0,0.02110198739517981,0.010434525357755233,0.0005
46,elasticnet,59755,500,120,1,0.004009206646936065,11.0,0.022671217730604713,0.010354176115014041,0.0005
47,elasticnet,59757,499,120,1,0.004478101313138643,9.0,0.02177075484413588,0.010902077292244657,0.0005
48,elasticnet,59757,499,120,1,0.004004261277478028,10.0,0.022789181902119746,0.01122878064080633,0.0005
