fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
0,elasticnet,59832,497,120,1,0.0017185651202592798,5.0,0.0019239810533956444,0.01240497392311579,0.005
1,elasticnet,59831,497,120,1,0.0019675054973512336,4.0,0.003618479181735554,0.012548112462901573,0.005
2,elasticnet,59830,498,120,1,0.0013095511457427071,3.0,0.0027582149156468463,0.012765489432857496,0.005
3,elasticnet,59829,497,120,1,0.006241466237493684,3.0,0.0028718656976786977,0.012420139343259355,0.005
4,elasticnet,59826,498,120,1,0.0034955643234168207,3.0,0.002964275494319238,0.013090027876974292,0.005
5,elasticnet,59824,496,120,1,0.009946539793690538,10.0,0.04168476510455694,0.013462794744046937,0.0005
6,elasticnet,59820,496,120,1,0.008672893270122212,7.0,0.025253028494964337,0.012766520547889654,0.001
7,elasticnet,59817,496,120,1,0.006495479940767682,7.0,0.012983007004503524,0.012724132999800374,0.0025
8,elasticnet,59813,497,120,1,0.0019790260557366935,2.0,0.0022673200562167836,0.012866629439236605,0.005
9,elasticnet,59812,496,120,1,0.007100465693828569,7.0,0.012033281120804706,0.014319405364268392,0.0025
10,elasticnet,59810,496,120,1,0.003244380599207834,2.0,0.002297342067711809,0.014787299559398445,0.005
11,elasticnet,59806,495,120,1,0.004067352375581146,2.0,0.0031589782905179814,0.015104542381159432,0.005
12,elasticnet,59801,497,120,1,0.0022752259049490064,2.0,0.0014844356553253644,0.01402691151946163,0.005
13,elasticnet,59798,496,120,1,0.0023185093873641037,2.0,0.0016506298163548243,0.014345848231541072,0.005
14,elasticnet,59795,497,120,1,0.002908218670563709,2.0,0.0030598119272284355,0.0140817958323074,0.005
15,elasticnet,59792,498,120,1,0.004200131606391087,2.0,0.0034494843143952573,0.013113274606873613,0.005
16,elasticnet,59791,499,120,1,0.003216715985099038,2.0,0.003104446048781675,0.01252061760623149,0.005
17,elasticnet,59790,499,120,1,0.0038987985803761774,2.0,0.003884210301460101,0.013063886875634503,0.005
18,elasticnet,59790,496,120,1,0.0032626587430325984,3.0,0.004254688886078162,0.012834345783502978,0.005
19,elasticnet,59786,499,120,1,0.003639833568971972,2.0,0.0037282423402536812,0.0130852660387991,0.005
20,elasticnet,59787,497,120,1,0.0034224254699848676,3.0,0.0038029290113329945,0.012767334544226051,0.005
21,elasticnet,59784,498,120,1,0.0027258959223334864,2.0,0.003535691392495018,0.012260441496060785,0.005
22,elasticnet,59783,498,120,1,0.002508141160687397,2.0,0.0032923012305388845,0.011529326292399144,0.005
23,elasticnet,59781,497,120,1,0.004093315534014899,3.0,0.003439905651593345,0.01161662000867329,0.005
24,elasticnet,59778,496,120,1,0.006283998249617189,13.0,0.039461537742088715,0.012597068365259761,5e-05
25,elasticnet,59774,496,120,1,0.005755314355019197,11.0,0.037987005081300665,0.011965143494383428,0.0001
26,elasticnet,59771,499,120,1,0.0020793452166905967,2.0,0.002686730069884205,0.01193746683059002,0.005
27,elasticnet,59770,499,120,1,0.003617711315191803,8.0,0.008847676685205448,0.011690686982285361,0.0025
28,elasticnet,59770,500,120,1,0.005412169325257311,7.0,0.016113153356236684,0.012304447410953054,0.001
29,elasticnet,59772,497,120,1,0.005819482429213967,7.0,0.016970591864002123,0.011981988284692897,0.001
30,elasticnet,59769,497,120,1,0.004648433130568371,8.0,0.01719596425912665,0.011884269383002292,0.001
31,elasticnet,59767,499,120,1,0.004388787203291049,8.0,0.01800220414963411,0.01143817368702903,0.001
32,elasticnet,59766,499,120,1,0.001283102074851667,4.0,0.00239382853992014,0.010366194571372753,0.005
33,elasticnet,59765,500,120,1,0.003756500709954816,8.0,0.018066332731013737,0.010632519129133508,0.001
34,elasticnet,59765,500,120,1,0.0014666605185160535,4.0,0.0031259791173333306,0.009704043516316641,0.005
35,elasticnet,59765,498,120,1,0.0027134256076055113,3.0,0.00308982874116169,0.010006291169625432,0.005
36,elasticnet,59763,499,120,1,0.001641372405752957,4.0,0.0028420495308556747,0.010216364468863075,0.005
37,elasticnet,59762,499,120,1,0.002946037596436165,6.0,0.010477743599813879,0.009686303031234963,0.0025
38,elasticnet,59761,499,120,1,0.0034085339337671687,7.0,0.010995870182215112,0.009320516704082328,0.0025
39,elasticnet,59760,498,120,1,0.003368755320208291,7.0,0.011054809676533967,0.009067489319823695,0.0025
40,elasticnet,59760,497,120,1,0.004891052029388187,10.0,0.019874987845429702,0.008893241662527845,0.001
41,elasticnet,59757,500,120,1,0.0019166000004617603,3.0,0.0029567666874456898,0.009721453231465166,0.005
42,elasticnet,59757,499,120,1,0.0016707149897056642,3.0,0.002533520372025609,0.010184106962408821,0.005
43,elasticnet,59756,499,120,1,0.0014511287223379539,3.0,0.002588963461737325,0.010191381413626481,0.005
44,elasticnet,59755,500,120,1,0.001552691629881415,3.0,0.002497932501874525,0.010452947983476929,0.005
45,elasticnet,59755,500,120,1,0.001212064910337368,3.0,0.0019251505524155992,0.010434525357755233,0.005
46,elasticnet,59755,500,120,1,0.0011528132911363153,3.0,0.0023173689135354406,0.010354176115014041,0.005
47,elasticnet,59757,499,120,1,0.0014839575768276904,3.0,0.001984989387256701,0.010902077292244657,0.005
48,elasticnet,59757,499,120,1,0.0009985089038858671,3.0,0.0018855870732366305,0.011228780640806332,0.005
49,elasticnet,59757,499,120,1,0.00088602447332725,3.0,0.0018974555679789466,0.011358305790513043,0.005
50,elasticnet,59758,498,120,1,0.0011246178765894185,3.0,0.0018236902444847304,0.011277259833389472,0.005
51,elasticnet,59756,500,120,1,0.0008795513706282565,3.0,0.0020771379427808874,0.011631523213128188,0.005
52,elasticnet,59757,499,120,1,0.0009915371980374367,3.0,0.0024473408414055044,0.01191120699089114,0.005
53,elasticnet,59757,500,120,1,0.0010350774450044913,3.0,0.0024607112423503667,0.011646863165063207,0.005
