fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
0,random_forest,59832,497,120,1,0.01613839532465038,,,,
1,random_forest,59831,497,120,1,0.018785295298132478,,,,
2,random_forest,59830,498,120,1,0.013606471010380981,,,,
3,random_forest,59829,497,120,1,0.03431381751448017,,,,
4,random_forest,59826,498,120,1,0.027105831432686016,,,,
5,random_forest,59824,496,120,1,0.02812695592538981,,,,
6,random_forest,59820,496,120,1,0.021837280040590497,,,,
7,random_forest,59817,496,120,1,0.027958354305067306,,,,
8,random_forest,59813,497,120,1,0.016993505536953887,,,,
9,random_forest,59812,496,120,1,0.01212380312906084,,,,
10,random_forest,59810,496,120,1,0.010264542604384199,,,,
11,random_forest,59806,495,120,1,0.01495723345878468,,,,
12,random_forest,59801,497,120,1,0.014002583561559418,,,,
13,random_forest,59798,496,120,1,0.016265295716501628,,,,
14,random_forest,59795,497,120,1,0.03056611189493463,,,,
15,random_forest,59792,498,120,1,0.028425923543448178,,,,
16,random_forest,59791,499,120,1,0.02627075115667179,,,,
17,random_forest,59790,499,120,1,0.04049517986921395,,,,
18,random_forest,59790,496,120,1,0.02546492481782842,,,,
19,random_forest,59786,499,120,1,0.014341860825163897,,,,
20,random_forest,59787,497,120,1,0.013126706003067406,,,,
21,random_forest,59784,498,120,1,0.01509234721021895,,,,
22,random_forest,59783,498,120,1,0.01812636663603484,,,,
23,random_forest,59781,497,120,1,0.018003403625073723,,,,
24,random_forest,59778,496,120,1,0.01397820752435939,,,,
25,random_forest,59774,496,120,1,0.00572332906218935,,,,
26,random_forest,59771,499,120,1,0.004810500276191895,,,,
27,random_forest,59770,499,120,1,0.004487778193930482,,,,
28,random_forest,59770,500,120,1,0.006542983918811799,,,,
29,random_forest,59772,497,120,1,0.004902474774361775,,,,
30,random_forest,59769,497,120,1,0.006810150582906115,,,,
31,random_forest,59767,499,120,1,0.007566433094544769,,,,
32,random_forest,59766,499,120,1,0.011290923396532669,,,,
33,random_forest,59765,500,120,1,0.011653803603143546,,,,
34,random_forest,59765,500,120,1,0.012230680310101038,,,,
35,random_forest,59765,498,120,1,0.019208524255189364,,,,
36,random_forest,59763,499,120,1,0.010342586685720169,,,,
37,random_forest,59762,499,120,1,0.007723955603193227,,,,
38,random_forest,59761,499,120,1,0.007099010493989116,,,,
39,random_forest,59760,498,120,1,0.007745696038603191,,,,
40,random_forest,59760,497,120,1,0.008220279858734823,,,,
41,random_forest,59757,500,120,1,0.004543432441151519,,,,
42,random_forest,59757,499,120,1,0.003351300588322537,,,,
43,random_forest,59756,499,120,1,0.0019944236083367945,,,,
44,random_forest,59755,500,120,1,0.001178461929913738,,,,
45,random_forest,59755,500,120,1,0.000983700879295916,,,,
46,random_forest,59755,500,120,1,0.0016210379816793317,,,,
47,random_forest,59757,499,120,1,0.0009806597359576011,,,,
48,random_forest,59757,499,120,1,0.0011024066253530836,,,,
49,random_forest,59757,499,120,1,0.0010582159491208346,,,,
50,random_forest,59758,498,120,1,0.0009673274102825925,,,,
51,random_forest,59756,500,120,1,0.0008229676266066028,,,,
52,random_forest,59757,499,120,1,0.000491112502569473,,,,
53,random_forest,59757,500,120,1,0.0005674454124290983,,,,
54,random_forest,59757,500,120,1,0.0006547725069386233,,,,
55,random_forest,59757,497,120,1,0.00028272343587449125,,,,
56,random_forest,59755,499,120,1,0.0019085466837175777,,,,
57,random_forest,59756,499,120,1,0.001505098955334998,,,,
58,random_forest,59757,498,120,1,0.0014419319819387736,,,,
59,random_forest,59756,499,120,1,0.0014160262878379242,,,,
60,random_forest,59756,500,120,1,0.0006487230306221551,,,,
61,random_forest,59757,499,120,1,0.0009284245426230782,,,,
62,random_forest,59756,500,120,1,0.0010609952692758008,,,,
63,random_forest,59757,497,120,1,0.0005369129924927671,,,,
64,random_forest,59757,499,120,1,0.0008017757006215241,,,,
65,random_forest,59756,500,120,1,0.0013580211818668324,,,,
66,random_forest,59758,499,120,1,0.0005954276444252292,,,,
67,random_forest,59757,498,120,1,0.00068514596961851,,,,
68,random_forest,59757,496,120,1,0.00044785557496248516,,,,
69,random_forest,59753,499,120,1,0.0002653301733212138,,,,
70,random_forest,59753,499,120,1,0.0003455772834685612,,,,
71,random_forest,59754,497,120,1,0.0010954065458669104,,,,
72,random_forest,59754,497,120,1,0.0013533104163967991,,,,
73,random_forest,59756,497,120,1,0.0005647017422672657,,,,
74,random_forest,59758,499,120,1,0.00029308790700014777,,,,
75,random_forest,59759,499,120,1,0.00028320284553997504,,,,
76,random_forest,59760,495,120,1,0.00023466294658771442,,,,
77,random_forest,59760,498,120,1,0.00029195331940313183,,,,
78,random_forest,59759,497,120,1,0.001703181084952288,,,,
79,random_forest,59757,500,120,1,0.0021912986456269525,,,,
80,random_forest,59759,497,120,1,0.002850508023978958,,,,
81,random_forest,59756,500,120,1,0.001063052453872076,,,,
82,random_forest,59757,499,120,1,0.0013699847468564175,,,,
83,random_forest,59756,495,120,1,0.001355964083938446,,,,
84,random_forest,59751,498,120,1,0.0006926618272122149,,,,
85,random_forest,59751,498,120,1,0.0009411451079509094,,,,
86,random_forest,59751,498,120,1,5.520252756909388e-05,,,,
87,random_forest,59749,496,120,1,6.212933196347475e-05,,,,
88,random_forest,59745,499,120,1,0.00016568239681974102,,,,
89,random_forest,59746,499,120,1,0.00010196013312780784,,,,
90,random_forest,59745,499,120,1,2.7268760287454e-05,,,,
91,random_forest,59747,496,120,1,0.00038289135868623463,,,,
92,random_forest,59745,499,120,1,0.0017305480849030249,,,,
93,random_forest,59747,497,120,1,0.0022269109463446024,,,,
94,random_forest,59745,494,120,1,0.0017591715321905047,,,,
95,random_forest,59740,495,120,1,0.0015847314012290932,,,,
96,random_forest,59737,495,120,1,0.0029572986518350106,,,,
97,random_forest,59734,499,120,1,0.0034215920820020846,,,,
98,random_forest,59734,500,120,1,0.002365135911797962,,,,
99,random_forest,59734,498,120,1,0.002983797708084189,,,,
100,random_forest,59734,499,120,1,0.002067104223816999,,,,
101,random_forest,59737,499,120,1,0.0024063983526183726,,,,
102,random_forest,59737,499,120,1,0.000535703692430917,,,,
103,random_forest,59740,499,120,1,0.005458727677533475,,,,
104,random_forest,59744,499,120,1,0.002234556897155432,,,,
105,random_forest,59745,495,120,1,0.0035007337994906493,,,,
106,random_forest,59743,498,120,1,0.007381514397514733,,,,
107,random_forest,59748,496,120,1,0.018745443557768214,,,,
108,random_forest,59748,497,120,1,0.07108734036928145,,,,
109,random_forest,59748,495,120,1,0.05096882116231208,,,,
110,random_forest,59747,499,120,1,0.03873775046629018,,,,
111,random_forest,59746,500,120,1,0.025632021043130726,,,,
112,random_forest,59749,499,120,1,0.021887136266727412,,,,
113,random_forest,59750,500,120,1,0.042081767682982635,,,,
114,random_forest,59753,500,120,1,0.023407660984112868,,,,
115,random_forest,59757,500,120,1,0.00940812692488866,,,,
116,random_forest,59759,500,120,1,0.0069694645448857995,,,,
117,random_forest,59764,500,120,1,0.011388399886740896,,,,
118,random_forest,59766,499,120,1,0.00467472035786286,,,,
119,random_forest,59771,498,120,1,0.008055421366431762,,,,
120,random_forest,59773,499,120,1,0.002401371561356653,,,,
121,random_forest,59775,497,120,1,0.0025433674651482835,,,,
122,random_forest,59775,497,120,1,0.005814623152875775,,,,
123,random_forest,59774,497,120,1,0.0034303205378734113,,,,
124,random_forest,59774,498,120,1,0.0014647522798029086,,,,
125,random_forest,59774,500,120,1,0.001947277350074385,,,,
126,random_forest,59778,498,120,1,0.0061875639430017055,,,,
127,random_forest,59780,497,120,1,0.008155060001685957,,,,
128,random_forest,59781,499,120,1,0.0018079205854775197,,,,
129,random_forest,59783,499,120,1,0.004823807514830867,,,,
130,random_forest,59786,497,120,1,0.0012412401767261303,,,,
131,random_forest,59787,499,120,1,0.0005812258282831637,,,,
132,random_forest,59791,500,120,1,0.0003426398182981612,,,,
133,random_forest,59794,500,120,1,0.0006007405998514424,,,,
134,random_forest,59798,499,120,1,0.0005137335703918013,,,,
135,random_forest,59800,498,120,1,0.0007566592694138911,,,,
136,random_forest,59800,498,120,1,0.00046445472393059727,,,,
137,random_forest,59799,500,120,1,0.000981376513242406,,,,
138,random_forest,59800,497,120,1,0.0011955720709115718,,,,
139,random_forest,59801,499,120,1,0.0014770610273540591,,,,
140,random_forest,59801,499,120,1,0.004169414361241004,,,,
141,random_forest,59803,498,120,1,0.011149640915662078,,,,
142,random_forest,59803,499,120,1,0.012834809173137214,,,,
143,random_forest,59804,498,120,1,0.004541164371801976,,,,
144,random_forest,59805,498,120,1,0.0042533366536575195,,,,
145,random_forest,59807,499,120,1,0.003185317661602362,,,,
146,random_forest,59810,500,120,1,0.003531103358694251,,,,
147,random_forest,59811,498,120,1,0.0036123660959551393,,,,
148,random_forest,59810,498,120,1,0.001863987958511071,,,,
149,random_forest,59808,497,120,1,0.003503017019562094,,,,
150,random_forest,59808,500,120,1,0.01051414033484075,,,,
151,random_forest,59811,497,120,1,0.007002456972827054,,,,
152,random_forest,59809,498,120,1,0.0029677072457632908,,,,
153,random_forest,59808,500,120,1,0.0031764344407450647,,,,
154,random_forest,59808,497,120,1,0.003126383240081464,,,,
155,random_forest,59805,500,120,1,0.0045455869996266374,,,,
156,random_forest,59807,498,120,1,0.0034731760181482166,,,,
157,random_forest,59806,499,120,1,0.0035749666318450066,,,,
158,random_forest,59806,500,120,1,0.0025912252384833784,,,,
159,random_forest,59807,499,120,1,0.0032024228879095804,,,,
160,random_forest,59808,500,120,1,0.001188278383152046,,,,
161,random_forest,59811,498,120,1,0.003049665591251321,,,,
162,random_forest,59809,498,120,1,0.002610224804228203,,,,
163,random_forest,59808,499,120,1,0.003517374026665134,,,,
164,random_forest,59808,500,120,1,0.0025003729045028505,,,,
165,random_forest,59808,498,120,1,0.001972963861627256,,,,
