fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
0,elasticnet,59334,497,120,1,0.0033282064178696597,9.0,0.02861902186469647,0.01237231864981063,0.005
1,elasticnet,59831,497,120,1,0.004742571102719531,10.0,0.029341378118906077,0.012548112462901568,0.005
2,elasticnet,59830,498,120,1,0.007940255214194095,14.0,0.050494079592494356,0.012765489432857505,0.0025
3,elasticnet,59829,497,120,1,0.0293771660166087,21.0,0.10170618719100596,0.012420139343259355,0.001
4,elasticnet,59826,498,120,1,0.01591891111818643,13.0,0.052107571908244554,0.013090027876974298,0.0025
5,elasticnet,59824,496,120,1,0.01585732241246546,24.0,0.1355574261705061,0.013462794744046934,0.0005
6,elasticnet,59820,496,120,1,0.01577029334784606,23.0,0.13028212335041334,0.012766520547889659,0.0005
7,elasticnet,59817,496,120,1,0.004845503122001654,9.0,0.026379943761098194,0.012724132999800374,0.005
8,elasticnet,59813,497,120,1,0.00343980227066165,8.0,0.023672085912141407,0.012866629439236596,0.005
9,elasticnet,59812,496,120,1,0.004060361440600606,7.0,0.024663821766975808,0.01431940536426839,0.005
10,elasticnet,59810,496,120,1,0.0059385613942879514,8.0,0.024270208071593944,0.014787299559398448,0.005
11,elasticnet,59806,495,120,1,0.0129014487548019,6.0,0.024132814192016783,0.015104542381159432,0.005
12,elasticnet,59801,497,120,1,0.006942217418272329,6.0,0.014149342020520025,0.014026911519461628,0.005
13,elasticnet,59798,496,120,1,0.0048766868903948055,5.0,0.016718040004657035,0.01434584823154107,0.005
14,elasticnet,59795,497,120,1,0.0058217986029857425,8.0,0.018036540894047524,0.014081795832307403,0.005
15,elasticnet,59792,498,120,1,0.008543843227876744,6.0,0.018448560781461974,0.013113274606873615,0.005
16,elasticnet,59791,499,120,1,0.007198900497822162,5.0,0.01919835059413063,0.012520617606231488,0.005
17,elasticnet,59790,499,120,1,0.005955524780836387,7.0,0.019729441622146737,0.013063886875634503,0.005
18,elasticnet,59790,496,120,1,0.00488823983293125,7.0,0.020617963328586446,0.012834345783502978,0.005
19,elasticnet,59786,499,120,1,0.0063717944612263315,6.0,0.01843607636246293,0.013085266038799098,0.005
20,elasticnet,59787,497,120,1,0.0056670839151473085,6.0,0.01850311645531705,0.012767334544226051,0.005
21,elasticnet,59784,498,120,1,0.012064710953420788,6.0,0.01983268645226069,0.012260441496060788,0.005
22,elasticnet,59783,498,120,1,0.005788124669520748,8.0,0.022762868868154814,0.011529326292399144,0.005
