fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
0,random_forest,59334,497,120,1,0.005923006882961593,,,,
1,random_forest,59831,497,120,1,0.0010238932746825646,,,,
2,random_forest,59830,498,120,1,0.0024546037185248504,,,,
3,random_forest,59829,497,120,1,0.024090995308201035,,,,
4,random_forest,59826,498,120,1,0.02656073686521335,,,,
5,random_forest,59824,496,120,1,0.021200965808006036,,,,
6,random_forest,59820,496,120,1,0.019223835500098777,,,,
7,random_forest,59817,496,120,1,0.011569663838365116,,,,
8,random_forest,59813,497,120,1,0.009165349076655203,,,,
9,random_forest,59812,496,120,1,0.004729068759192671,,,,
10,random_forest,59810,496,120,1,0.0015989787093525253,,,,
11,random_forest,59806,495,120,1,0.026117398673482544,,,,
12,random_forest,59801,497,120,1,0.0015652367747321374,,,,
13,random_forest,59798,496,120,1,0.0064051182660201465,,,,
14,random_forest,59795,497,120,1,0.022429660417129425,,,,
15,random_forest,59792,498,120,1,0.05843206048527764,,,,
16,random_forest,59791,499,120,1,0.007356968814884463,,,,
17,random_forest,59790,499,120,1,0.021814714215020695,,,,
18,random_forest,59790,496,120,1,0.00813759201924279,,,,
19,random_forest,59786,499,120,1,0.003970509347197704,,,,
20,random_forest,59787,497,120,1,0.003442677127358079,,,,
21,random_forest,59784,498,120,1,0.022268150323136372,,,,
22,random_forest,59783,498,120,1,0.05296414470600401,,,,
23,random_forest,59781,497,120,1,0.029169913795873078,,,,
24,random_forest,59778,496,120,1,0.021597315136216405,,,,
25,random_forest,59774,496,120,1,0.036999728884758255,,,,
26,random_forest,59771,499,120,1,0.00013544657766474303,,,,
27,random_forest,59770,499,120,1,0.0009599442617963443,,,,
28,random_forest,59770,500,120,1,0.0004817822905979664,,,,
29,random_forest,59772,497,120,1,0.0002553294407466531,,,,
30,random_forest,59769,497,120,1,0.000534027770203527,,,,
31,random_forest,59767,499,120,1,0.05280207818570716,,,,
32,random_forest,59766,499,120,1,0.028040151798811135,,,,
33,random_forest,59765,500,120,1,0.009614654176834917,,,,
34,random_forest,59765,500,120,1,0.01491120601979609,,,,
35,random_forest,59765,498,120,1,0.023977064271539193,,,,
36,random_forest,59763,499,120,1,0.03733998834937304,,,,
37,random_forest,59762,499,120,1,0.032303983220791484,,,,
38,random_forest,59761,499,120,1,0.011281752575286432,,,,
39,random_forest,59760,498,120,1,0.019488985120653973,,,,
40,random_forest,59760,497,120,1,0.0071523168681975335,,,,
41,random_forest,59757,500,120,1,0.0037791418966481418,,,,
42,random_forest,59757,499,120,1,0.0016352448529740385,,,,
43,random_forest,59756,499,120,1,0.0002964709791832491,,,,
44,random_forest,59755,500,120,1,0.0003186684687248287,,,,
45,random_forest,59755,500,120,1,0.0005360988552958903,,,,
46,random_forest,59755,500,120,1,0.00012128905347289019,,,,
47,random_forest,59757,499,120,1,0.00036803026357313173,,,,
48,random_forest,59757,499,120,1,0.0006574745345542524,,,,
49,random_forest,59757,499,120,1,0.0005522383131878638,,,,
50,random_forest,59758,498,120,1,0.0011342783694372365,,,,
51,random_forest,59756,500,120,1,0.000671563753903418,,,,
52,random_forest,59757,499,120,1,0.0002370830471429895,,,,
53,random_forest,59757,500,120,1,0.00013588507415957616,,,,
54,random_forest,59757,500,120,1,0.00022902422350375376,,,,
55,random_forest,59757,497,120,1,0.000737393447774572,,,,
56,random_forest,59755,499,120,1,2.0331218167913584e-05,,,,
57,random_forest,59756,499,120,1,1.734723475976807e-18,,,,
58,random_forest,59757,498,120,1,0.0002783890839461528,,,,
59,random_forest,59756,499,120,1,2.4954887996766527e-05,,,,
60,random_forest,59756,500,120,1,0.0001905324445350029,,,,
61,random_forest,59757,499,120,1,0.0007059250449320646,,,,
62,random_forest,59756,500,120,1,4.034193570878561e-05,,,,
63,random_forest,59757,497,120,1,8.623817570997932e-05,,,,
64,random_forest,59757,499,120,1,0.00013167435600886326,,,,
65,random_forest,59756,500,120,1,3.469446951953614e-18,,,,
66,random_forest,59758,499,120,1,0.0,,,,
67,random_forest,59757,498,120,1,1.0408340855860843e-17,,,,
68,random_forest,59757,496,120,1,8.104044317548497e-05,,,,
69,random_forest,59753,499,120,1,0.0,,,,
70,random_forest,59753,499,120,1,5.569096419790822e-05,,,,
71,random_forest,59754,497,120,1,3.30362851731196e-05,,,,
72,random_forest,59754,497,120,1,0.00027909884900673566,,,,
73,random_forest,59756,497,120,1,8.457719360579275e-05,,,,
74,random_forest,59758,499,120,1,9.579706012615207e-05,,,,
75,random_forest,59759,499,120,1,0.00014561130035244701,,,,
76,random_forest,59760,495,120,1,0.0001918266382767242,,,,
77,random_forest,59760,498,120,1,3.469446951953614e-18,,,,
78,random_forest,59759,497,120,1,2.6943785330006845e-05,,,,
79,random_forest,59757,500,120,1,0.00021372306507200838,,,,
80,random_forest,59759,497,120,1,0.0001363924113358126,,,,
81,random_forest,59756,500,120,1,7.559284269527863e-05,,,,
82,random_forest,59757,499,120,1,0.00020464817293231456,,,,
83,random_forest,59756,495,120,1,0.0001335694776844404,,,,
84,random_forest,59751,498,120,1,0.00027247640844303386,,,,
85,random_forest,59751,498,120,1,0.0002129152903836265,,,,
86,random_forest,59751,498,120,1,5.0610986997250685e-05,,,,
87,random_forest,59749,496,120,1,1.734723475976807e-18,,,,
88,random_forest,59745,499,120,1,3.469446951953614e-18,,,,
89,random_forest,59746,499,120,1,5.204170427930421e-18,,,,
90,random_forest,59745,499,120,1,0.0,,,,
91,random_forest,59747,496,120,1,1.734723475976807e-18,,,,
92,random_forest,59745,499,120,1,0.00022850776576881392,,,,
93,random_forest,59747,497,120,1,6.829110626134381e-05,,,,
94,random_forest,59745,494,120,1,0.0004784922027570222,,,,
95,random_forest,59740,495,120,1,0.0007578410260344359,,,,
96,random_forest,59737,495,120,1,0.011657679393321732,,,,
97,random_forest,59734,499,120,1,0.04190569464181461,,,,
98,random_forest,59734,500,120,1,0.026335206255249814,,,,
99,random_forest,59734,498,120,1,0.02108550104596423,,,,
100,random_forest,59734,499,120,1,0.022004658372689855,,,,
101,random_forest,59737,499,120,1,0.002653814905966044,,,,
102,random_forest,59737,499,120,1,0.02003025225037973,,,,
103,random_forest,59740,499,120,1,0.013475183677101094,,,,
104,random_forest,59744,499,120,1,0.03221199666364219,,,,
105,random_forest,59745,495,120,1,0.020973014083971134,,,,
106,random_forest,59743,498,120,1,0.039761255402533786,,,,
107,random_forest,59748,496,120,1,0.0499768159448804,,,,
