fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
0,random_forest,59334,497,120,1,0.005919739800767055,,,,
1,random_forest,59831,497,120,1,0.0010238932746825613,,,,
2,random_forest,59830,498,120,1,0.0024546037185248504,,,,
3,random_forest,59829,497,120,1,0.024921850833563495,,,,
4,random_forest,59826,498,120,1,0.02551468626102731,,,,
5,random_forest,59824,496,120,1,0.021081731377180803,,,,
6,random_forest,59820,496,120,1,0.019526979149757984,,,,
7,random_forest,59817,496,120,1,0.011563691228888288,,,,
8,random_forest,59813,497,120,1,0.0091653490766552,,,,
9,random_forest,59812,496,120,1,0.004914359704327425,,,,
10,random_forest,59810,496,120,1,0.0015989787093525262,,,,
11,random_forest,59806,495,120,1,0.025567553136335987,,,,
12,random_forest,59801,497,120,1,0.0015652367747321374,,,,
13,random_forest,59798,496,120,1,0.006316018402872306,,,,
14,random_forest,59795,497,120,1,0.022429660417129422,,,,
15,random_forest,59792,498,120,1,0.05804118249224185,,,,
16,random_forest,59791,499,120,1,0.007356968814884464,,,,
17,random_forest,59790,499,120,1,0.021814714215020698,,,,
18,random_forest,59790,496,120,1,0.009315255931194125,,,,
19,random_forest,59786,499,120,1,0.00506659816130001,,,,
20,random_forest,59787,497,120,1,0.003442677127358078,,,,
21,random_forest,59784,498,120,1,0.0225019845595728,,,,
22,random_forest,59783,498,120,1,0.053247193808871544,,,,
23,random_forest,59781,497,120,1,0.03038990412281829,,,,
24,random_forest,59778,496,120,1,0.021597315136216412,,,,
25,random_forest,59774,496,120,1,0.03731102611001843,,,,
26,random_forest,59771,499,120,1,0.00013544657766474287,,,,
27,random_forest,59770,499,120,1,0.0009599442617963442,,,,
28,random_forest,59770,500,120,1,0.000481782290597966,,,,
29,random_forest,59772,497,120,1,0.00025532944074665325,,,,
30,random_forest,59769,497,120,1,0.0005340277702035273,,,,
31,random_forest,59767,499,120,1,0.05356683284698371,,,,
32,random_forest,59766,499,120,1,0.029415524487853433,,,,
33,random_forest,59765,500,120,1,0.009434865387896172,,,,
34,random_forest,59765,500,120,1,0.014945514102353646,,,,
35,random_forest,59765,498,120,1,0.023657232438692843,,,,
36,random_forest,59763,499,120,1,0.03716451456278606,,,,
37,random_forest,59762,499,120,1,0.032303983220791484,,,,
38,random_forest,59761,499,120,1,0.011399486139754052,,,,
39,random_forest,59760,498,120,1,0.01947459195409307,,,,
40,random_forest,59760,497,120,1,0.007249924621440443,,,,
41,random_forest,59757,500,120,1,0.0037791418966481418,,,,
42,random_forest,59757,499,120,1,0.0016352448529740376,,,,
43,random_forest,59756,499,120,1,0.0002964709791832482,,,,
44,random_forest,59755,500,120,1,0.00031866846872482884,,,,
45,random_forest,59755,500,120,1,0.000536098855295891,,,,
46,random_forest,59755,500,120,1,0.00012128905347288996,,,,
47,random_forest,59757,499,120,1,0.0003680302635731343,,,,
48,random_forest,59757,499,120,1,0.0006574745345542532,,,,
49,random_forest,59757,499,120,1,0.0005522383131878608,,,,
50,random_forest,59758,498,120,1,0.0011342783694372424,,,,
51,random_forest,59756,500,120,1,0.0006715637539034168,,,,
52,random_forest,59757,499,120,1,0.00023708304714298967,,,,
53,random_forest,59757,500,120,1,0.00013588507415957616,,,,
54,random_forest,59757,500,120,1,0.0002290242235037544,,,,
55,random_forest,59757,497,120,1,0.0007373934477745697,,,,
56,random_forest,59755,499,120,1,2.0331218167913398e-05,,,,
57,random_forest,59756,499,120,1,0.0,,,,
58,random_forest,59757,498,120,1,0.0002783890839461525,,,,
59,random_forest,59756,499,120,1,2.4954887996766327e-05,,,,
60,random_forest,59756,500,120,1,0.0001905324445350032,,,,
61,random_forest,59757,499,120,1,0.0007059250449320655,,,,
62,random_forest,59756,500,120,1,4.034193570878561e-05,,,,
63,random_forest,59757,497,120,1,8.623817570997882e-05,,,,
64,random_forest,59757,499,120,1,0.00013167435600886548,,,,
65,random_forest,59756,500,120,1,0.0,,,,
66,random_forest,59758,499,120,1,0.0,,,,
67,random_forest,59757,498,120,1,1.0408340855860843e-17,,,,
68,random_forest,59757,496,120,1,8.104044317548437e-05,,,,
69,random_forest,59753,499,120,1,0.0,,,,
70,random_forest,59753,499,120,1,5.569096419790858e-05,,,,
71,random_forest,59754,497,120,1,3.30362851731196e-05,,,,
72,random_forest,59754,497,120,1,0.00027909884900673403,,,,
73,random_forest,59756,497,120,1,8.457719360579273e-05,,,,
74,random_forest,59758,499,120,1,9.579706012615264e-05,,,,
75,random_forest,59759,499,120,1,0.0001456113003524463,,,,
76,random_forest,59760,495,120,1,0.0001918266382767234,,,,
77,random_forest,59760,498,120,1,3.469446951953614e-18,,,,
78,random_forest,59759,497,120,1,2.6943785330006842e-05,,,,
79,random_forest,59757,500,120,1,0.00021372306507200746,,,,
80,random_forest,59759,497,120,1,0.00013639241133581257,,,,
81,random_forest,59756,500,120,1,7.559284269527848e-05,,,,
82,random_forest,59757,499,120,1,0.0002046481729323166,,,,
83,random_forest,59756,495,120,1,0.0001335694776844404,,,,
84,random_forest,59751,498,120,1,0.0002724764084430313,,,,
85,random_forest,59751,498,120,1,0.00021291529038362583,,,,
86,random_forest,59751,498,120,1,5.061098699724898e-05,,,,
87,random_forest,59749,496,120,1,3.469446951953614e-18,,,,
88,random_forest,59745,499,120,1,1.734723475976807e-18,,,,
89,random_forest,59746,499,120,1,3.469446951953614e-18,,,,
90,random_forest,59745,499,120,1,1.734723475976807e-18,,,,
91,random_forest,59747,496,120,1,1.734723475976807e-18,,,,
92,random_forest,59745,499,120,1,0.0002285077657688142,,,,
93,random_forest,59747,497,120,1,6.829110626134402e-05,,,,
94,random_forest,59745,494,120,1,0.00047849220275702304,,,,
95,random_forest,59740,495,120,1,0.0007578410260344352,,,,
96,random_forest,59737,495,120,1,0.010717602017448282,,,,
97,random_forest,59734,499,120,1,0.04172443146838682,,,,
98,random_forest,59734,500,120,1,0.02668700221506297,,,,
99,random_forest,59734,498,120,1,0.02136881672249429,,,,
100,random_forest,59734,499,120,1,0.022060734416598584,,,,
101,random_forest,59737,499,120,1,0.002881430287829651,,,,
102,random_forest,59737,499,120,1,0.02103428646022163,,,,
103,random_forest,59740,499,120,1,0.014516551415720693,,,,
104,random_forest,59744,499,120,1,0.031787246446043714,,,,
105,random_forest,59745,495,120,1,0.021202678824450143,,,,
106,random_forest,59743,498,120,1,0.03971922888329809,,,,
107,random_forest,59748,496,120,1,0.04944544539465142,,,,
108,random_forest,59748,497,120,1,0.03797636427976349,,,,
109,random_forest,59748,495,120,1,0.03420510910952476,,,,
110,random_forest,59747,499,120,1,0.01300034443746185,,,,
111,random_forest,59746,500,120,1,0.06062051958318532,,,,
112,random_forest,59749,499,120,1,0.02041034230369437,,,,
113,random_forest,59750,500,120,1,0.046957738714944894,,,,
114,random_forest,59753,500,120,1,0.006186098986283758,,,,
115,random_forest,59757,500,120,1,0.006337949888069801,,,,
116,random_forest,59759,500,120,1,0.002530738283839335,,,,
117,random_forest,59764,500,120,1,0.003441186197081002,,,,
118,random_forest,59766,499,120,1,0.00418509946897887,,,,
119,random_forest,59771,498,120,1,7.609545769237716e-05,,,,
120,random_forest,59773,499,120,1,0.00021775471489532774,,,,
121,random_forest,59775,497,120,1,0.0012412007211722417,,,,
122,random_forest,59775,497,120,1,0.00034228249643547987,,,,
123,random_forest,59774,497,120,1,0.00017025834848261905,,,,
124,random_forest,59774,498,120,1,0.000261048828877199,,,,
125,random_forest,59774,500,120,1,0.002350521368666364,,,,
126,random_forest,59778,498,120,1,0.002854752447025111,,,,
127,random_forest,59780,497,120,1,0.00468639310943736,,,,
128,random_forest,59781,499,120,1,0.008024858815521934,,,,
129,random_forest,59783,499,120,1,0.004225649099012675,,,,
130,random_forest,59786,497,120,1,0.006631649002099796,,,,
131,random_forest,59787,499,120,1,0.005216684532633822,,,,
132,random_forest,59791,500,120,1,0.00106494262310985,,,,
133,random_forest,59794,500,120,1,0.00019733290184339268,,,,
134,random_forest,59798,499,120,1,0.00018634901286591985,,,,
135,random_forest,59800,498,120,1,0.0020768487441878668,,,,
136,random_forest,59800,498,120,1,0.0005309127155635231,,,,
137,random_forest,59799,500,120,1,3.469446951953614e-18,,,,
