fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
0,random_forest,59334,497,120,1,0.0059230068829615925,,,,
1,random_forest,59831,497,120,1,0.0010238932746825635,,,,
2,random_forest,59830,498,120,1,0.00245460371852485,,,,
3,random_forest,59829,497,120,1,0.02409099530820104,,,,
4,random_forest,59826,498,120,1,0.02656073686521335,,,,
5,random_forest,59824,496,120,1,0.02120096580800604,,,,
6,random_forest,59820,496,120,1,0.01922383550009878,,,,
7,random_forest,59817,496,120,1,0.011569663838365114,,,,
8,random_forest,59813,497,120,1,0.009165349076655203,,,,
9,random_forest,59812,496,120,1,0.00472906875919267,,,,
10,random_forest,59810,496,120,1,0.0015989787093525255,,,,
11,random_forest,59806,495,120,1,0.026117398673482544,,,,
12,random_forest,59801,497,120,1,0.0015652367747321367,,,,
13,random_forest,59798,496,120,1,0.006405118266020143,,,,
14,random_forest,59795,497,120,1,0.022429660417129422,,,,
15,random_forest,59792,498,120,1,0.058432060485277625,,,,
16,random_forest,59791,499,120,1,0.007356968814884464,,,,
17,random_forest,59790,499,120,1,0.021814714215020688,,,,
18,random_forest,59790,496,120,1,0.00813759201924279,,,,
19,random_forest,59786,499,120,1,0.003970509347197704,,,,
20,random_forest,59787,497,120,1,0.003442677127358078,,,,
21,random_forest,59784,498,120,1,0.022268150323136376,,,,
22,random_forest,59783,498,120,1,0.052964144706004,,,,
23,random_forest,59781,497,120,1,0.029169913795873078,,,,
24,random_forest,59778,496,120,1,0.0215973151362164,,,,
25,random_forest,59774,496,120,1,0.036999728884758255,,,,
26,random_forest,59771,499,120,1,0.00013544657766474327,,,,
27,random_forest,59770,499,120,1,0.0009599442617963438,,,,
28,random_forest,59770,500,120,1,0.0004817822905979663,,,,
29,random_forest,59772,497,120,1,0.0002553294407466531,,,,
30,random_forest,59769,497,120,1,0.0005340277702035277,,,,
31,random_forest,59767,499,120,1,0.05280207818570716,,,,
32,random_forest,59766,499,120,1,0.028040151798811145,,,,
33,random_forest,59765,500,120,1,0.009614654176834918,,,,
34,random_forest,59765,500,120,1,0.01491120601979609,,,,
35,random_forest,59765,498,120,1,0.023977064271539193,,,,
36,random_forest,59763,499,120,1,0.03733998834937304,,,,
37,random_forest,59762,499,120,1,0.032303983220791484,,,,
38,random_forest,59761,499,120,1,0.011281752575286427,,,,
39,random_forest,59760,498,120,1,0.019488985120653973,,,,
40,random_forest,59760,497,120,1,0.007152316868197531,,,,
41,random_forest,59757,500,120,1,0.0037791418966481413,,,,
42,random_forest,59757,499,120,1,0.0016352448529740383,,,,
43,random_forest,59756,499,120,1,0.00029647097918324746,,,,
44,random_forest,59755,500,120,1,0.00031866846872482873,,,,
45,random_forest,59755,500,120,1,0.000536098855295891,,,,
46,random_forest,59755,500,120,1,0.00012128905347289019,,,,
47,random_forest,59757,499,120,1,0.00036803026357313265,,,,
48,random_forest,59757,499,120,1,0.0006574745345542532,,,,
49,random_forest,59757,499,120,1,0.0005522383131878638,,,,
50,random_forest,59758,498,120,1,0.001134278369437237,,,,
51,random_forest,59756,500,120,1,0.0006715637539034157,,,,
52,random_forest,59757,499,120,1,0.00023708304714298848,,,,
53,random_forest,59757,500,120,1,0.00013588507415957508,,,,
54,random_forest,59757,500,120,1,0.0002290242235037529,,,,
55,random_forest,59757,497,120,1,0.0007373934477745702,,,,
56,random_forest,59755,499,120,1,2.0331218167913584e-05,,,,
57,random_forest,59756,499,120,1,1.734723475976807e-18,,,,
58,random_forest,59757,498,120,1,0.00027838908394615285,,,,
59,random_forest,59756,499,120,1,2.495488799676616e-05,,,,
60,random_forest,59756,500,120,1,0.00019053244453500203,,,,
61,random_forest,59757,499,120,1,0.0007059250449320639,,,,
62,random_forest,59756,500,120,1,4.034193570878561e-05,,,,
63,random_forest,59757,497,120,1,8.623817570997897e-05,,,,
64,random_forest,59757,499,120,1,0.0001316743560088644,,,,
65,random_forest,59756,500,120,1,3.469446951953614e-18,,,,
66,random_forest,59758,499,120,1,3.469446951953614e-18,,,,
67,random_forest,59757,498,120,1,0.0,,,,
68,random_forest,59757,496,120,1,8.104044317548497e-05,,,,
69,random_forest,59753,499,120,1,3.469446951953614e-18,,,,
70,random_forest,59753,499,120,1,5.569096419790891e-05,,,,
71,random_forest,59754,497,120,1,3.303628517311858e-05,,,,
72,random_forest,59754,497,120,1,0.0002790988490067347,,,,
73,random_forest,59756,497,120,1,8.4577193605794e-05,,,,
74,random_forest,59758,499,120,1,9.579706012615207e-05,,,,
75,random_forest,59759,499,120,1,0.00014561130035244842,,,,
76,random_forest,59760,495,120,1,0.00019182663827672344,,,,
77,random_forest,59760,498,120,1,0.0,,,,
78,random_forest,59759,497,120,1,2.6943785330006842e-05,,,,
79,random_forest,59757,500,120,1,0.00021372306507200806,,,,
80,random_forest,59759,497,120,1,0.00013639241133581257,,,,
81,random_forest,59756,500,120,1,7.559284269527863e-05,,,,
82,random_forest,59757,499,120,1,0.00020464817293231572,,,,
83,random_forest,59756,495,120,1,0.00013356947768443912,,,,
84,random_forest,59751,498,120,1,0.0002724764084430367,,,,
85,random_forest,59751,498,120,1,0.00021291529038362596,,,,
86,random_forest,59751,498,120,1,5.0610986997250685e-05,,,,
