feature_a,feature_b,corr,abs_corr
reversal_1m_x_macro_vix,reversal_1m_x_macro_credit_spread,0.9687953372382718,0.9687953372382718
mom_12_1_x_macro_epu,mom_12_1_x_macro_vix,0.8959921520528676,0.8959921520528676
abnormal_log_volume_x_macro_epu,abnormal_log_volume_x_macro_vix,0.8954442310829887,0.8954442310829887
tsmom_12_x_macro_epu,tsmom_12_x_macro_vix,0.8916742041554369,0.8916742041554369
reversal_1m_x_macro_epu,reversal_1m_x_macro_vix,0.882255650139442,0.882255650139442
reversal_1m_x_macro_epu,reversal_1m_x_macro_credit_spread,0.8754687391748646,0.8754687391748646
mom_12_1_x_macro_epu,tsmom_12_x_macro_epu,0.8735264927680308,0.8735264927680308
mom_12_1_x_macro_vix,tsmom_12_x_macro_vix,0.8653828411008704,0.8653828411008704
mom_12_1_x_macro_epu,tsmom_12_x_macro_vix,0.8092602774784804,0.8092602774784804
mom_12_1_x_macro_vix,ma_crossover_6_12_x_macro_vix,0.805341956431833,0.805341956431833
mom_12_1_x_macro_vix,tsmom_12_x_macro_epu,0.742719158002059,0.742719158002059
tsmom_12_x_macro_vix,ma_crossover_6_12_x_macro_vix,0.7348734077261134,0.7348734077261134
vol_regime_3_12_x_macro_vix,vol_regime_3_12_x_macro_term_spread,0.7300378642369576,0.7300378642369576
mom_12_1_x_macro_epu,ma_crossover_6_12_x_macro_vix,0.7275450439147605,0.7275450439147605
ma_gap_12m_x_macro_epu,ma_crossover_6_12_x_macro_vix,0.6948385751950982,0.6948385751950982
