,mom_12_1_x_macro_epu,mom_12_1_x_macro_vix,tsmom_12_x_macro_epu,tsmom_12_x_macro_vix,ma_gap_12m_x_macro_epu,ma_crossover_6_12_x_macro_vix,reversal_1m_x_macro_epu,reversal_1m_x_macro_vix,reversal_1m_x_macro_credit_spread,abnormal_log_volume_x_macro_epu,abnormal_log_volume_x_macro_vix,log_volume_x_macro_credit_spread,vol_regime_3_12_x_macro_vix,vol_regime_3_12_x_macro_term_spread,vol_12m_x_macro_credit_spread
mom_12_1_x_macro_epu,1.0,0.8959921520528676,0.8735264927680308,0.8092602774784804,0.6523888284489265,0.7275450439147605,0.045302202323299165,0.02031414993055416,0.022868896318386508,-0.03868302404082831,-0.013989693964839229,-0.13657916401600692,-0.06944255826159296,-0.04912808968554386,-0.09749435795648927
mom_12_1_x_macro_vix,0.8959921520528676,1.0,0.742719158002059,0.8653828411008704,0.5869910839816793,0.805341956431833,0.02296879074316594,0.0009931924518856454,0.008293011813524456,0.006812935333386247,0.0322691650336355,-0.18507576271562176,-0.06432534200229932,-0.04985595674463226,-0.10872875634058982
tsmom_12_x_macro_epu,0.8735264927680308,0.742719158002059,1.0,0.8916742041554369,0.6009104952367574,0.6347777407500744,0.025814056547530145,0.010733880477024588,0.010273823364882488,-0.041843511275650676,-0.028113920141073646,-0.1316091702163844,-0.043545295748218804,-0.027237924072904464,-0.21555882802745793
tsmom_12_x_macro_vix,0.8092602774784804,0.8653828411008704,0.8916742041554369,1.0,0.5626798854454509,0.7348734077261134,0.01507166173998014,-0.005951408692039044,-0.00019302028494507667,0.000617664446976755,0.019948684314135684,-0.19029056315983414,-0.04407303468180199,-0.0315391798390812,-0.2309531362699196
ma_gap_12m_x_macro_epu,0.6523888284489265,0.5869910839816793,0.6009104952367574,0.5626798854454509,1.0,0.6948385751950982,-0.4436288139689048,-0.4325517724914594,-0.4226571655358185,-0.23702103792780121,-0.19907615340598847,-0.2725819728135489,-0.09999023639380054,-0.07684994935956449,-0.24172531073129833
ma_crossover_6_12_x_macro_vix,0.7275450439147605,0.805341956431833,0.6347777407500744,0.7348734077261134,0.6948385751950982,1.0,-0.04301405755163446,-0.05813987578830151,-0.04864516961376161,-0.035718984885940025,-0.030118940722139026,-0.26193505358545877,-0.10131627966916204,-0.08442685794726036,-0.24715856100099018
reversal_1m_x_macro_epu,0.045302202323299165,0.02296879074316594,0.025814056547530145,0.01507166173998014,-0.4436288139689048,-0.04301405755163446,1.0,0.882255650139442,0.8754687391748646,0.10386736248096735,0.11111351356386895,0.09326277569254593,-0.05692514915963039,-0.024081607347758282,-0.0030743102602448637
reversal_1m_x_macro_vix,0.02031414993055416,0.0009931924518856454,0.010733880477024588,-0.005951408692039044,-0.4325517724914594,-0.05813987578830151,0.882255650139442,1.0,0.9687953372382718,0.10383517542518463,0.12493803793055974,0.14170250072944487,-0.03668838176182029,-0.01609300093231396,0.023872403239036322
reversal_1m_x_macro_credit_spread,0.022868896318386508,0.008293011813524456,0.010273823364882488,-0.00019302028494507667,-0.4226571655358185,-0.04864516961376161,0.8754687391748646,0.9687953372382718,1.0,0.09831965260734779,0.12137806689805689,0.12262270036520498,-0.0441653254784339,-0.02054268296788983,0.01283264842233226
abnormal_log_volume_x_macro_epu,-0.03868302404082831,0.006812935333386247,-0.041843511275650676,0.000617664446976755,-0.23702103792780121,-0.035718984885940025,0.10386736248096735,0.10383517542518463,0.09831965260734779,1.0,0.8954442310829887,0.13569038640237172,0.17915734159144608,0.14429017010186063,0.08607494826234396
abnormal_log_volume_x_macro_vix,-0.013989693964839229,0.0322691650336355,-0.028113920141073646,0.019948684314135684,-0.19907615340598847,-0.030118940722139026,0.11111351356386895,0.12493803793055974,0.12137806689805689,0.8954442310829887,1.0,0.18405885750320616,0.18980377637819176,0.159294986790153,0.12620045464304763
log_volume_x_macro_credit_spread,-0.13657916401600692,-0.18507576271562176,-0.1316091702163844,-0.19029056315983414,-0.2725819728135489,-0.26193505358545877,0.09326277569254593,0.14170250072944487,0.12262270036520498,0.13569038640237172,0.18405885750320616,1.0,0.03477865610345752,0.0037745599095472607,0.633012904421573
vol_regime_3_12_x_macro_vix,-0.06944255826159296,-0.06432534200229932,-0.043545295748218804,-0.04407303468180199,-0.09999023639380054,-0.10131627966916204,-0.05692514915963039,-0.03668838176182029,-0.0441653254784339,0.17915734159144608,0.18980377637819176,0.03477865610345752,1.0,0.7300378642369576,-0.0060006443949569685
vol_regime_3_12_x_macro_term_spread,-0.04912808968554386,-0.04985595674463226,-0.027237924072904464,-0.0315391798390812,-0.07684994935956449,-0.08442685794726036,-0.024081607347758282,-0.01609300093231396,-0.02054268296788983,0.14429017010186063,0.159294986790153,0.0037745599095472607,0.7300378642369576,1.0,-0.03605873467511487
vol_12m_x_macro_credit_spread,-0.09749435795648927,-0.10872875634058982,-0.21555882802745793,-0.2309531362699196,-0.24172531073129833,-0.24715856100099018,-0.0030743102602448637,0.023872403239036322,0.01283264842233226,0.08607494826234396,0.12620045464304763,0.633012904421573,-0.0060006443949569685,-0.03605873467511487,1.0
