feature_a,feature_b,corr,abs_corr
mom_12_1,tsmom_12,0.8519534309324893,0.8519534309324893
mom_12_1,ma_crossover_6_12,0.8115433661006486,0.8115433661006486
ma_gap_12m,ma_crossover_6_12,0.7794805784705989,0.7794805784705989
mom_6_1,ma_gap_12m,0.7449287758790132,0.7449287758790132
tsmom_12,ma_crossover_6_12,0.7442312845066179,0.7442312845066179
mom_6_1,ma_crossover_6_12,0.6980146676546437,0.6980146676546437
tsmom_12,tsmom_sign_12,0.6890573688515529,0.6890573688515529
mom_12_1,ma_gap_12m,0.6652690531689153,0.6652690531689153
vol_3m,vol_regime_3_12,0.6648104803763456,0.6648104803763456
vol_3m,vol_12m,0.6500849156563212,0.6500849156563212
tsmom_sign_12,ma_crossover_6_12,0.6291855860286396,0.6291855860286396
tsmom_12,ma_gap_12m,0.6291189688331649,0.6291189688331649
mom_12_1,tsmom_sign_12,0.6272684992821428,0.6272684992821428
mom_12_1,mom_6_1,0.6225312705901697,0.6225312705901697
mom_6_1,mom_3_1,0.595270424737404,0.595270424737404
