strategy,cost_convention,cost_bps,avg_turnover,n_periods,periods_per_year,mean_period_return,std_period_return,annual_return,annual_volatility,sharpe,max_drawdown,cumulative_return,experiment,pipeline,model_type
Elastic Net,one_way,0.0,0.5630310636739987,300.0,12.0,0.006143133931003307,0.08743085143338762,0.027398220105090187,0.3028693536632671,0.18481812237023343,-0.7353871180887149,0.965487223697594,macroext_twostep_elasticnet_supervisor_constrained_final_prema_v1,twostep,elasticnet
Elastic Net,one_way,10.0,0.5630310636739987,300.0,12.0,0.005580102867329308,0.08741749067354464,0.020476960315804593,0.30282307063351555,0.16255655868857946,-0.751520155058688,0.65989301891954,macroext_twostep_elasticnet_supervisor_constrained_final_prema_v1,twostep,elasticnet
Elastic Net,one_way,25.0,0.5630310636739987,300.0,12.0,0.004735556271818309,0.08739837178090874,0.010174163884594245,0.30275684084665594,0.1291508932502188,-0.7739111717142984,0.2879719982054807,macroext_twostep_elasticnet_supervisor_constrained_final_prema_v1,twostep,elasticnet
Elastic Net,one_way,50.0,0.5630310636739987,300.0,12.0,0.0033279786126333114,0.08736896805347368,-0.006788168985078058,0.302654983346957,0.07344236885929215,-0.8068746761383186,-0.1565737676518527,macroext_twostep_elasticnet_supervisor_constrained_final_prema_v1,twostep,elasticnet
Random Forest,one_way,0.0,0.7339378844017652,300.0,12.0,0.009263965191176815,0.06458816269293463,0.089428639679628,0.2237399587033749,0.41687080961716416,-0.5113820132747059,7.510786642278214,macroext_twostep_random_forest_supervisor_constrained_final_prema_v1,twostep,random_forest
Random Forest,one_way,10.0,0.7339378844017652,300.0,12.0,0.008530027306775045,0.06457911694185751,0.07992062389466326,0.22370862330245853,0.37764704376622854,-0.5230036027329765,5.835902832277859,macroext_twostep_random_forest_supervisor_constrained_final_prema_v1,twostep,random_forest
Random Forest,one_way,25.0,0.7339378844017652,300.0,12.0,0.007429120480172401,0.06456711549481131,0.06579977877171128,0.22366704907036178,0.3187840647225346,-0.5399383317042832,3.9191565493984424,macroext_twostep_random_forest_supervisor_constrained_final_prema_v1,twostep,random_forest
Random Forest,one_way,50.0,0.7339378844017652,300.0,12.0,0.005594275769167986,0.0645512947170958,0.042637045936457785,0.22361224428872473,0.22061881789349216,-0.5668841367074534,1.8400683664232895,macroext_twostep_random_forest_supervisor_constrained_final_prema_v1,twostep,random_forest
Torch (gamma=5.0),one_way,0.0,0.5338844060897827,300.0,12.0,0.012166894972324371,0.0558089017868042,0.13483011722564697,0.19332770681873274,0.6630598056560957,-0.5657714009284973,22.619535446166992,macroext_onestep_torch_supervisor_ra500_final_prema_v1,onestep,torch_linear_policy
Torch (gamma=5.0),one_way,10.0,0.5338844060897827,300.0,12.0,0.01163301058113575,0.05581466481089592,0.12764286994934082,0.19334767051979693,0.629912035477547,-0.5713486671447754,19.150644302368164,macroext_onestep_torch_supervisor_ra500_final_prema_v1,onestep,torch_linear_policy
Torch (gamma=5.0),one_way,25.0,0.5338844060897827,300.0,12.0,0.010832185856997967,0.05582444369792938,0.11693918704986572,0.1933815455781638,0.5801870412588426,-0.5795871019363403,14.875913619995117,macroext_onestep_torch_supervisor_ra500_final_prema_v1,onestep,torch_linear_policy
Torch (gamma=5.0),one_way,50.0,0.5338844060897827,300.0,12.0,0.009497473947703838,0.0558437816798687,0.0993044376373291,0.19344853431263329,0.4973121478257936,-0.5929846167564392,9.664731979370117,macroext_onestep_torch_supervisor_ra500_final_prema_v1,onestep,torch_linear_policy
