asset_id,months_observed,ticker,company_name
10145,420,,
10516,420,,
11308,420,,
11404,420,,
11674,420,,
11850,420,,
12052,420,,
12060,420,,
12490,420,,
13856,420,,
13901,420,,
13928,420,,
14541,420,,
15202,420,,
15579,420,,
15720,420,,
16600,420,,
16678,420,,
17005,420,,
17144,420,,
17478,420,,
17750,420,,
17778,420,,
17830,420,,
18163,420,,
18411,420,,
18542,420,,
18729,420,,
19350,420,,
19393,420,,
19561,420,,
20482,420,,
21178,420,,
21207,420,,
21573,420,,
21776,420,,
21936,420,,
22103,420,,
22111,420,,
22509,420,,
22517,420,,
22592,420,,
22752,420,,
22779,420,,
23026,420,,
23473,420,,
23536,420,,
23712,420,,
23819,420,,
23931,420,,
24010,420,,
24109,420,,
24205,420,,
24643,420,,
24985,420,,
25320,420,,
25785,420,,
25953,420,,
26403,420,,
26710,420,,
26825,420,,
27828,420,,
27887,420,,
27959,420,,
28222,420,,
28484,420,,
34817,420,,
34833,420,,
36468,420,,
38703,420,,
39642,420,,
41355,420,,
43449,420,,
44644,420,,
45751,420,,
46578,420,,
46674,420,,
47626,420,,
47896,420,,
48506,420,,
48725,420,,
49154,420,,
49656,420,,
50876,420,,
52038,420,,
52695,420,,
55976,420,,
56274,420,,
56573,420,,
57904,420,,
58246,420,,
59176,420,,
59328,420,,
59408,420,,
59459,420,,
60442,420,,
60506,420,,
60628,420,,
61399,420,,
64390,420,,
64995,420,,
66157,420,,
72726,420,,
21792,419,,
38762,419,,
43350,419,,
22293,418,,
23579,418,,
34032,418,,
52476,418,,
66800,418,,
19502,417,,
34746,417,,
53065,417,,
24766,416,,
62308,416,,
13688,414,,
38156,413,,
21186,411,,
58683,411,,
15069,409,,
27991,409,,
62148,408,,
73139,408,,
57665,407,,
32870,406,,
40272,405,,
42906,405,,
64282,404,,
40539,403,,
52978,403,,
25419,402,,
43553,402,,
14593,401,,
25582,401,,
62092,398,,
66181,398,,
70578,396,,
49015,395,,
30681,394,,
35044,394,,
60986,392,,
64186,391,,
64311,389,,
77730,388,,
48653,386,,
14702,385,,
25081,384,,
59010,382,,
44601,379,,
14008,377,,
60599,377,,
64936,377,,
23660,375,,
37584,374,,
29946,370,,
39490,370,,
60871,370,,
65875,369,,
66093,369,,
21371,367,,
24942,364,,
27983,363,,
53613,363,,
23229,362,,
49680,361,,
92655,361,,
40125,359,,
71563,356,,
57817,355,,
52090,354,,
61621,354,,
44206,352,,
87055,348,,
10104,344,,
10107,344,,
39538,344,,
69032,344,,
46886,341,,
61241,341,,
10138,339,,
23085,338,,
70519,337,,
75510,337,,
35554,335,,
11703,333,,
17726,333,,
20626,333,,
75034,331,,
10696,328,,
52230,327,,
49373,326,,
75186,326,,
25778,322,,
42534,321,,
85914,321,,
68591,320,,
11955,317,,
23501,314,,
59192,313,,
70536,311,,
11891,307,,
19166,306,,
35051,304,,
41080,304,,
24272,302,,
46877,302,,
71175,302,,
75607,302,,
75828,302,,
60097,301,,
75825,301,,
87717,300,,
40416,299,,
48486,299,,
28345,298,,
58819,298,,
76076,297,,
11618,295,,
10225,293,,
68144,292,,
12062,289,,
47941,289,,
12570,286,,
69550,285,,
39087,283,,
76226,283,,
76605,283,,
23077,282,,
29209,282,,
68196,282,,
18403,279,,
91556,279,,
76841,278,,
57568,277,,
59248,277,,
84129,277,,
11762,276,,
22840,276,,
24459,276,,
76712,275,,
77178,275,,
77274,274,,
45241,273,,
70332,273,,
85631,273,,
70033,272,,
23114,271,,
77605,270,,
60687,269,,
77702,269,,
69796,268,,
76639,268,,
24221,267,,
29938,267,,
14656,266,,
17743,266,,
77661,265,,
11600,264,,
27684,264,,
75241,264,,
32942,262,,
60206,262,,
24328,261,,
61735,261,,
75100,261,,
78975,260,,
78987,260,,
27043,259,,
76201,259,,
38682,257,,
79323,257,,
37161,253,,
54148,253,,
11403,252,,
16432,252,,
60943,252,,
61815,252,,
10933,251,,
53225,251,,
10299,249,,
66325,248,,
80080,248,,
20415,247,,
52329,246,,
66384,245,,
10147,244,,
77496,244,,
50227,242,,
39917,241,,
81055,240,,
25013,239,,
81061,239,,
15667,238,,
12140,237,,
77357,237,,
24440,236,,
51625,236,,
45277,235,,
81540,235,,
15456,234,,
81655,234,,
44951,233,,
52337,233,,
70500,233,,
23990,232,,
25232,232,,
81774,232,,
20220,231,,
12079,229,,
12650,229,,
15077,229,,
36469,229,,
52919,229,,
11754,228,,
