time_index_zero_based,time_index_one_based,raw_month_end_value,parsed_date,year_month
0,1,19891229.0,1989-12-29,1989-12
1,2,19900131.0,1990-01-31,1990-01
2,3,19900228.0,1990-02-28,1990-02
3,4,19900330.0,1990-03-30,1990-03
4,5,19900430.0,1990-04-30,1990-04
5,6,19900531.0,1990-05-31,1990-05
6,7,19900629.0,1990-06-29,1990-06
7,8,19900731.0,1990-07-31,1990-07
8,9,19900831.0,1990-08-31,1990-08
9,10,19900928.0,1990-09-28,1990-09
10,11,19901031.0,1990-10-31,1990-10
11,12,19901130.0,1990-11-30,1990-11
12,13,19901231.0,1990-12-31,1990-12
13,14,19910131.0,1991-01-31,1991-01
14,15,19910228.0,1991-02-28,1991-02
15,16,19910328.0,1991-03-28,1991-03
16,17,19910430.0,1991-04-30,1991-04
17,18,19910531.0,1991-05-31,1991-05
18,19,19910628.0,1991-06-28,1991-06
19,20,19910731.0,1991-07-31,1991-07
20,21,19910830.0,1991-08-30,1991-08
21,22,19910930.0,1991-09-30,1991-09
22,23,19911031.0,1991-10-31,1991-10
23,24,19911129.0,1991-11-29,1991-11
24,25,19911231.0,1991-12-31,1991-12
25,26,19920131.0,1992-01-31,1992-01
26,27,19920228.0,1992-02-28,1992-02
27,28,19920331.0,1992-03-31,1992-03
28,29,19920430.0,1992-04-30,1992-04
29,30,19920529.0,1992-05-29,1992-05
30,31,19920630.0,1992-06-30,1992-06
31,32,19920731.0,1992-07-31,1992-07
32,33,19920831.0,1992-08-31,1992-08
33,34,19920930.0,1992-09-30,1992-09
34,35,19921030.0,1992-10-30,1992-10
35,36,19921130.0,1992-11-30,1992-11
36,37,19921231.0,1992-12-31,1992-12
37,38,19930129.0,1993-01-29,1993-01
38,39,19930226.0,1993-02-26,1993-02
39,40,19930331.0,1993-03-31,1993-03
40,41,19930430.0,1993-04-30,1993-04
41,42,19930528.0,1993-05-28,1993-05
42,43,19930630.0,1993-06-30,1993-06
43,44,19930730.0,1993-07-30,1993-07
44,45,19930831.0,1993-08-31,1993-08
45,46,19930930.0,1993-09-30,1993-09
46,47,19931029.0,1993-10-29,1993-10
47,48,19931130.0,1993-11-30,1993-11
48,49,19931231.0,1993-12-31,1993-12
49,50,19940131.0,1994-01-31,1994-01
50,51,19940228.0,1994-02-28,1994-02
51,52,19940331.0,1994-03-31,1994-03
52,53,19940429.0,1994-04-29,1994-04
53,54,19940531.0,1994-05-31,1994-05
54,55,19940630.0,1994-06-30,1994-06
55,56,19940729.0,1994-07-29,1994-07
56,57,19940831.0,1994-08-31,1994-08
57,58,19940930.0,1994-09-30,1994-09
58,59,19941031.0,1994-10-31,1994-10
59,60,19941130.0,1994-11-30,1994-11
60,61,19941230.0,1994-12-30,1994-12
61,62,19950131.0,1995-01-31,1995-01
62,63,19950228.0,1995-02-28,1995-02
63,64,19950331.0,1995-03-31,1995-03
64,65,19950428.0,1995-04-28,1995-04
65,66,19950531.0,1995-05-31,1995-05
66,67,19950630.0,1995-06-30,1995-06
67,68,19950731.0,1995-07-31,1995-07
68,69,19950831.0,1995-08-31,1995-08
69,70,19950929.0,1995-09-29,1995-09
70,71,19951031.0,1995-10-31,1995-10
71,72,19951130.0,1995-11-30,1995-11
72,73,19951229.0,1995-12-29,1995-12
73,74,19960131.0,1996-01-31,1996-01
74,75,19960229.0,1996-02-29,1996-02
75,76,19960329.0,1996-03-29,1996-03
76,77,19960430.0,1996-04-30,1996-04
77,78,19960531.0,1996-05-31,1996-05
78,79,19960628.0,1996-06-28,1996-06
79,80,19960731.0,1996-07-31,1996-07
80,81,19960830.0,1996-08-30,1996-08
81,82,19960930.0,1996-09-30,1996-09
82,83,19961031.0,1996-10-31,1996-10
83,84,19961129.0,1996-11-29,1996-11
84,85,19961231.0,1996-12-31,1996-12
85,86,19970131.0,1997-01-31,1997-01
86,87,19970228.0,1997-02-28,1997-02
87,88,19970331.0,1997-03-31,1997-03
88,89,19970430.0,1997-04-30,1997-04
89,90,19970530.0,1997-05-30,1997-05
90,91,19970630.0,1997-06-30,1997-06
91,92,19970731.0,1997-07-31,1997-07
92,93,19970829.0,1997-08-29,1997-08
93,94,19970930.0,1997-09-30,1997-09
94,95,19971031.0,1997-10-31,1997-10
95,96,19971128.0,1997-11-28,1997-11
96,97,19971231.0,1997-12-31,1997-12
97,98,19980130.0,1998-01-30,1998-01
98,99,19980227.0,1998-02-27,1998-02
99,100,19980331.0,1998-03-31,1998-03
100,101,19980430.0,1998-04-30,1998-04
101,102,19980529.0,1998-05-29,1998-05
102,103,19980630.0,1998-06-30,1998-06
103,104,19980731.0,1998-07-31,1998-07
104,105,19980831.0,1998-08-31,1998-08
105,106,19980930.0,1998-09-30,1998-09
106,107,19981030.0,1998-10-30,1998-10
107,108,19981130.0,1998-11-30,1998-11
108,109,19981231.0,1998-12-31,1998-12
109,110,19990129.0,1999-01-29,1999-01
110,111,19990226.0,1999-02-26,1999-02
111,112,19990331.0,1999-03-31,1999-03
112,113,19990430.0,1999-04-30,1999-04
113,114,19990528.0,1999-05-28,1999-05
114,115,19990630.0,1999-06-30,1999-06
115,116,19990730.0,1999-07-30,1999-07
116,117,19990831.0,1999-08-31,1999-08
117,118,19990930.0,1999-09-30,1999-09
118,119,19991029.0,1999-10-29,1999-10
119,120,19991130.0,1999-11-30,1999-11
120,121,19991231.0,1999-12-31,1999-12
121,122,20000131.0,2000-01-31,2000-01
122,123,20000229.0,2000-02-29,2000-02
123,124,20000331.0,2000-03-31,2000-03
124,125,20000428.0,2000-04-28,2000-04
125,126,20000531.0,2000-05-31,2000-05
126,127,20000630.0,2000-06-30,2000-06
127,128,20000731.0,2000-07-31,2000-07
128,129,20000831.0,2000-08-31,2000-08
129,130,20000929.0,2000-09-29,2000-09
130,131,20001031.0,2000-10-31,2000-10
131,132,20001130.0,2000-11-30,2000-11
132,133,20001229.0,2000-12-29,2000-12
133,134,20010131.0,2001-01-31,2001-01
134,135,20010228.0,2001-02-28,2001-02
135,136,20010330.0,2001-03-30,2001-03
136,137,20010430.0,2001-04-30,2001-04
137,138,20010531.0,2001-05-31,2001-05
138,139,20010629.0,2001-06-29,2001-06
139,140,20010731.0,2001-07-31,2001-07
140,141,20010831.0,2001-08-31,2001-08
141,142,20010928.0,2001-09-28,2001-09
142,143,20011031.0,2001-10-31,2001-10
143,144,20011130.0,2001-11-30,2001-11
144,145,20011231.0,2001-12-31,2001-12
145,146,20020131.0,2002-01-31,2002-01
146,147,20020228.0,2002-02-28,2002-02
147,148,20020328.0,2002-03-28,2002-03
148,149,20020430.0,2002-04-30,2002-04
149,150,20020531.0,2002-05-31,2002-05
150,151,20020628.0,2002-06-28,2002-06
151,152,20020731.0,2002-07-31,2002-07
152,153,20020830.0,2002-08-30,2002-08
153,154,20020930.0,2002-09-30,2002-09
154,155,20021031.0,2002-10-31,2002-10
155,156,20021129.0,2002-11-29,2002-11
156,157,20021231.0,2002-12-31,2002-12
157,158,20030131.0,2003-01-31,2003-01
158,159,20030228.0,2003-02-28,2003-02
159,160,20030331.0,2003-03-31,2003-03
160,161,20030430.0,2003-04-30,2003-04
161,162,20030530.0,2003-05-30,2003-05
162,163,20030630.0,2003-06-30,2003-06
163,164,20030731.0,2003-07-31,2003-07
164,165,20030829.0,2003-08-29,2003-08
165,166,20030930.0,2003-09-30,2003-09
166,167,20031031.0,2003-10-31,2003-10
167,168,20031128.0,2003-11-28,2003-11
168,169,20031231.0,2003-12-31,2003-12
169,170,20040130.0,2004-01-30,2004-01
170,171,20040227.0,2004-02-27,2004-02
171,172,20040331.0,2004-03-31,2004-03
172,173,20040430.0,2004-04-30,2004-04
173,174,20040528.0,2004-05-28,2004-05
174,175,20040630.0,2004-06-30,2004-06
175,176,20040730.0,2004-07-30,2004-07
176,177,20040831.0,2004-08-31,2004-08
177,178,20040930.0,2004-09-30,2004-09
178,179,20041029.0,2004-10-29,2004-10
179,180,20041130.0,2004-11-30,2004-11
180,181,20041231.0,2004-12-31,2004-12
181,182,20050131.0,2005-01-31,2005-01
182,183,20050228.0,2005-02-28,2005-02
183,184,20050331.0,2005-03-31,2005-03
184,185,20050429.0,2005-04-29,2005-04
185,186,20050531.0,2005-05-31,2005-05
186,187,20050630.0,2005-06-30,2005-06
187,188,20050729.0,2005-07-29,2005-07
188,189,20050831.0,2005-08-31,2005-08
189,190,20050930.0,2005-09-30,2005-09
190,191,20051031.0,2005-10-31,2005-10
191,192,20051130.0,2005-11-30,2005-11
192,193,20051230.0,2005-12-30,2005-12
193,194,20060131.0,2006-01-31,2006-01
194,195,20060228.0,2006-02-28,2006-02
195,196,20060331.0,2006-03-31,2006-03
196,197,20060428.0,2006-04-28,2006-04
197,198,20060531.0,2006-05-31,2006-05
198,199,20060630.0,2006-06-30,2006-06
199,200,20060731.0,2006-07-31,2006-07
200,201,20060831.0,2006-08-31,2006-08
201,202,20060929.0,2006-09-29,2006-09
202,203,20061031.0,2006-10-31,2006-10
203,204,20061130.0,2006-11-30,2006-11
204,205,20061229.0,2006-12-29,2006-12
