dataset,asset_index,missing_rate
returns,130,0.0001180637544273908
returns,474,0.0001180637544273908
returns,380,9.838646202282565e-05
returns,138,9.838646202282565e-05
returns,269,9.838646202282565e-05
returns,200,9.838646202282565e-05
returns,479,9.838646202282565e-05
returns,399,9.838646202282565e-05
returns,374,9.838646202282565e-05
returns,224,9.838646202282565e-05
volume,435,0.005529319165682802
volume,436,0.005332546241637151
volume,475,0.0051357733175915
volume,399,0.004899645808736718
volume,432,0.0048209366391184574
volume,420,0.0048209366391184574
volume,394,0.004801259346713892
volume,483,0.004801259346713892
volume,337,0.004722550177095631
volume,472,0.004702872884691066
