asset_index,lookback_index,time_index,month_end,value,abs_value
19,79,277,2013-01-31,201242689.0,201242689.0
18,69,287,2013-11-29,201242689.0,201242689.0
17,68,288,2013-12-31,201242689.0,201242689.0
28,39,317,2016-05-31,201242689.0,201242689.0
28,38,318,2016-06-30,201242689.0,201242689.0
30,1,355,2019-07-31,201242689.0,201242689.0
21,20,336,2017-12-29,201242689.0,201242689.0
30,41,315,2016-03-31,201242689.0,201242689.0
30,3,353,2019-05-31,201242689.0,201242689.0
17,70,286,2013-10-31,201242689.0,201242689.0
