dataset,time_index,month_end,missing_rate
returns,106,1998-10-30,0.00011570247933884298
returns,118,1999-10-29,9.917355371900826e-05
returns,214,2007-10-31,9.917355371900826e-05
returns,229,2009-01-30,8.264462809917356e-05
returns,72,1995-12-29,8.264462809917356e-05
returns,225,2008-09-30,8.264462809917356e-05
returns,216,2007-12-31,8.264462809917356e-05
returns,196,2006-04-28,8.264462809917356e-05
returns,116,1999-08-31,8.264462809917356e-05
returns,301,2015-01-30,8.264462809917356e-05
volume,0,1989-12-29,0.040347107438016526
volume,1,1990-01-31,0.037338842975206614
volume,2,1990-02-28,0.035586776859504135
volume,5,1990-05-31,0.035570247933884296
volume,3,1990-03-30,0.035471074380165286
volume,4,1990-04-30,0.03424793388429752
volume,6,1990-06-29,0.03335537190082644
volume,7,1990-07-31,0.03259504132231405
volume,8,1990-08-31,0.03090909090909091
volume,9,1990-09-28,0.028859504132231404
